Product ID,Product Name,Entry Time
2,Article 2,5/3/2023 22:12
2,Article 2,5/3/2023 22:12
2,Article 2,5/3/2023 22:12
2,Article 2,5/3/2023 22:12
1,Article 1,5/3/2023 22:12
1,Article 1,5/3/2023 22:12
1,Article 1,5/3/2023 22:12
1,Article 1,5/3/2023 22:12
1,Article 1,2023-05-03 22:27:26
1,Article 1,2023-05-03 22:27:31
1,Article 1,2023-05-03 22:29:25
1,Article 1,2023-05-03 22:29:27
1,Article 1,2023-05-03 22:29:38
1,Article 1,2023-05-03 22:33:52
1,Article 1,2023-05-03 22:34:55
1,Article 1,2023-05-03 22:36:27
1,Article 1,2023-05-03 22:37:09
1,Article 1,2023-05-03 22:37:11
2,Article 2,2023-05-03 22:37:29
2,Article 2,2023-05-03 22:39:28
2,Article 2,2023-05-03 22:40:50
2,Article 2,2023-05-03 22:41:44
2,Article 2,2023-05-03 22:42:17
2,Article 2,2023-05-03 22:43:30
2,Article 2,2023-05-03 22:43:35
2,Article 2,2023-05-03 22:44:07
2,Article 2,2023-05-03 22:44:25
2,Article 2,2023-05-03 22:44:26
2,Article 2,2023-05-03 22:44:28
2,Article 2,2023-05-03 22:44:29
2,Article 2,2023-05-03 22:44:30
2,Article 2,2023-05-03 22:44:33
2,Article 2,2023-05-03 22:48:16
2,Article 2,2023-05-03 22:48:37
2,Article 2,2023-05-03 22:48:37
2,Article 2,2023-05-03 22:48:38
2,Article 2,2023-05-03 22:48:39
2,Article 2,2023-05-03 22:56:46
2,Article 2,2023-05-03 22:57:06
2,Article 2,2023-05-03 23:01:06
2,Article 2,2023-05-03 23:01:06
2,Article 2,2023-05-03 23:01:06
2,Article 2,2023-05-03 23:01:47
2,Article 2,2023-05-03 23:02:59
2,Article 2,2023-05-03 23:04:32
2,Article 2,2023-05-03 23:06:27
2,Article 2,2023-05-03 23:06:56
2,Article 2,2023-05-03 23:09:29
2,Article 2,2023-05-03 23:09:31
2,Article 2,2023-05-03 23:19:56
2,Article 2,2023-05-03 23:21:17
2,Article 2,2023-05-03 23:23:34
2,Article 2,2023-05-03 23:23:39
2,Article 2,2023-05-03 23:30:56
2,Article 2,2023-05-03 23:31:43
2,Article 2,2023-05-03 23:34:32
2,Article 2,2023-05-03 23:41:11
2,Article 2,2023-05-03 23:42:03
2,Article 2,2023-05-03 23:42:07
2,Article 2,2023-05-03 23:43:23
2,Article 2,2023-05-03 23:43:27
2,Article 2,2023-05-03 23:46:46
2,Article 2,2023-05-03 23:46:48
2,Article 2,2023-05-03 23:47:32
2,Article 2,2023-05-03 23:48:13
2,Article 2,2023-05-03 23:48:15
2,Article 2,2023-05-03 23:48:17
1,Article 1,2023-05-03 23:49:07
1,Article 1,2023-05-03 23:49:08
2,Article 2,2023-05-03 23:49:13
2,Article 2,2023-05-03 23:49:13
2,Article 2,2023-05-03 23:50:02
2,Article 2,2023-05-03 23:50:03
2,Article 2,2023-05-03 23:50:04
2,Article 2,2023-05-03 23:50:31
2,Article 2,2023-05-03 23:50:32
2,Article 2,2023-05-03 23:51:54
2,Article 2,2023-05-03 23:51:56
3,Article 3,2023-05-03 23:52:01
3,Article 3,2023-05-03 23:52:02
1,Article 1,2023-05-03 23:52:08
1,Article 1,2023-05-03 23:52:28
1,Article 1,2023-05-03 23:52:31
3,Article 3,2023-05-03 23:52:51
3,Article 3,2023-05-03 23:52:52
3,Article 3,2023-05-03 23:52:54
3,Article 3,2023-05-03 23:52:55
